mysql root@(none):covid_data> select Name, Never_Mask, Rarely_Mask, Sometimes_Mask, Frequently_Mask, Always_Mask  from `County` order by `Always_Mask` desc;
+-----------------------------------+------------+-------------+----------------+-----------------+-------------+
| Name                              | Never_Mask | Rarely_Mask | Sometimes_Mask | Frequently_Mask | Always_Mask |
| Herkimer                          | 0.015      | 0.026       | 0.042          | 0.158           | 0.758       |
| Mercer                            | 0.017      | 0.014       | 0.050          | 0.162           | 0.757       |
| Dallas                            | 0.024      | 0.019       | 0.059          | 0.141           | 0.757       |
| Victoria                          | 0.008      | 0.039       | 0.138          | 0.058           | 0.757       |
| Miami-Dade                        | 0.032      | 0.023       | 0.060          | 0.128           | 0.756       |
| DeKalb                            | 0.007      | 0.012       | 0.034          | 0.191           | 0.756       |
| Passaic                           | 0.029      | 0.015       | 0.063          | 0.138           | 0.756       |
| Onondaga                          | 0.019      | 0.008       | 0.054          | 0.163           | 0.756       |
| Washington                        | 0.006      | 0.009       | 0.059          | 0.169           | 0.756       |
| Terrell                           | 0.019      | 0.029       | 0.030          | 0.167           | 0.755       |
| Mineral                           | 0.022      | 0.018       | 0.090          | 0.115           | 0.755       |
| Orange                            | 0.023      | 0.021       | 0.046          | 0.156           | 0.754       |
| Grand                             | 0.006      | 0.002       | 0.050          | 0.187           | 0.754       |
| Providence                        | 0.022      | 0.014       | 0.050          | 0.159           | 0.754       |
| Jefferson                         | 0.011      | 0.000       | 0.064          | 0.171           | 0.754       |
| Lake                              | 0.002      | 0.016       | 0.036          | 0.193           | 0.753       |
| Bee                               | 0.001      | 0.003       | 0.052          | 0.190           | 0.753       |
| Medina                            | 0.006      | 0.017       | 0.070          | 0.155           | 0.753       |
| Franklin                          | 0.106      | 0.013       | 0.059          | 0.069           | 0.753       |
| Madera                            | 0.019      | 0.059       | 0.048          | 0.124           | 0.751       |
| Alachua                           | 0.001      | 0.024       | 0.053          | 0.170           | 0.751       |
| Rensselaer                        | 0.018      | 0.018       | 0.073          | 0.140           | 0.751       |
| Saratoga                          | 0.020      | 0.012       | 0.062          | 0.156           | 0.751       |
| Caldwell                          | 0.001      | 0.001       | 0.063          | 0.185           | 0.751       |
| Boulder                           | 0.008      | 0.015       | 0.032          | 0.195           | 0.750       |
| Pinellas                          | 0.025      | 0.019       | 0.074          | 0.133           | 0.750       |
| Karnes                            | 0.000      | 0.001       | 0.104          | 0.145           | 0.750       |
| Arlington                         | 0.010      | 0.018       | 0.035          | 0.187           | 0.750       |
| Caroline                          | 0.047      | 0.032       | 0.031          | 0.140           | 0.750       |
| James City                        | 0.006      | 0.008       | 0.005          | 0.231           | 0.750       |
| Warren                            | 0.035      | 0.020       | 0.044          | 0.152           | 0.749       |
| Montgomery                        | 0.102      | 0.005       | 0.054          | 0.090           | 0.749       |
| Bandera                           | 0.073      | 0.018       | 0.070          | 0.090           | 0.749       |
| Kane                              | 0.013      | 0.026       | 0.048          | 0.165           | 0.748       |
| Jim Hogg                          | 0.071      | 0.003       | 0.079          | 0.099           | 0.748       |
| Jim Wells                         | 0.057      | 0.007       | 0.137          | 0.051           | 0.748       |
| Fairfax                           | 0.018      | 0.016       | 0.054          | 0.163           | 0.748       |
| Louisa                            | 0.025      | 0.045       | 0.036          | 0.146           | 0.748       |
| New London                        | 0.025      | 0.021       | 0.066          | 0.142           | 0.747       |
| Bristol                           | 0.016      | 0.020       | 0.056          | 0.161           | 0.747       |
| Potter                            | 0.061      | 0.011       | 0.061          | 0.120           | 0.747       |
| Uvalde                            | 0.014      | 0.022       | 0.136          | 0.081           | 0.747       |
| Greene                            | 0.011      | 0.038       | 0.052          | 0.153           | 0.747       |
| Whatcom                           | 0.042      | 0.028       | 0.061          | 0.122           | 0.747       |
| Carroll                           | 0.014      | 0.008       | 0.062          | 0.170           | 0.746       |
| Gloucester                        | 0.047      | 0.010       | 0.052          | 0.145           | 0.746       |
| Socorro                           | 0.002      | 0.008       | 0.050          | 0.193           | 0.746       |
| Orange                            | 0.023      | 0.008       | 0.042          | 0.180           | 0.746       |
| Person                            | 0.010      | 0.008       | 0.070          | 0.166           | 0.746       |
| Aransas                           | 0.006      | 0.005       | 0.170          | 0.074           | 0.746       |
| Clallam                           | 0.001      | 0.000       | 0.028          | 0.225           | 0.746       |
| San Luis Obispo                   | 0.025      | 0.024       | 0.037          | 0.169           | 0.745       |
| Franklin                          | 0.038      | 0.030       | 0.061          | 0.127           | 0.745       |
| Delaware                          | 0.057      | 0.053       | 0.034          | 0.112           | 0.744       |
| Wayne                             | 0.017      | 0.018       | 0.090          | 0.132           | 0.744       |
| District of Columbia              | 0.012      | 0.013       | 0.069          | 0.164           | 0.743       |
| Baker                             | 0.027      | 0.048       | 0.054          | 0.127           | 0.743       |
| Colfax                            | 0.041      | 0.019       | 0.091          | 0.106           | 0.743       |
| Clark                             | 0.027      | 0.032       | 0.054          | 0.145           | 0.742       |
| Manassas city                     | 0.033      | 0.023       | 0.027          | 0.175           | 0.742       |
| Fresno                            | 0.021      | 0.022       | 0.059          | 0.156           | 0.741       |
| Clark                             | 0.020      | 0.021       | 0.048          | 0.170           | 0.741       |
| Cape May                          | 0.013      | 0.011       | 0.022          | 0.214           | 0.740       |
| Comal                             | 0.007      | 0.044       | 0.063          | 0.146           | 0.740       |
| Palo Pinto                        | 0.027      | 0.023       | 0.029          | 0.181           | 0.740       |
| Clarke                            | 0.013      | 0.036       | 0.057          | 0.154           | 0.740       |
| Yakima                            | 0.012      | 0.035       | 0.069          | 0.143           | 0.740       |
| San Benito                        | 0.018      | 0.004       | 0.063          | 0.175           | 0.739       |
| Will                              | 0.041      | 0.024       | 0.062          | 0.134           | 0.739       |
| Anne Arundel                      | 0.018      | 0.022       | 0.067          | 0.154           | 0.739       |
| Cecil                             | 0.009      | 0.018       | 0.054          | 0.182           | 0.738       |
| Multnomah                         | 0.013      | 0.016       | 0.054          | 0.178           | 0.738       |
| Santa Barbara                     | 0.015      | 0.020       | 0.075          | 0.153           | 0.737       |
| Calhoun                           | 0.013      | 0.035       | 0.043          | 0.172           | 0.737       |
| Goliad                            | 0.001      | 0.025       | 0.160          | 0.077           | 0.737       |
| Williamsburg city                 | 0.005      | 0.009       | 0.001          | 0.249           | 0.737       |
| Allegany                          | 0.007      | 0.010       | 0.035          | 0.213           | 0.736       |
| Essex                             | 0.050      | 0.050       | 0.057          | 0.107           | 0.736       |
| Granville                         | 0.042      | 0.033       | 0.082          | 0.107           | 0.736       |
| Harris                            | 0.019      | 0.024       | 0.069          | 0.152           | 0.736       |
| Lavaca                            | 0.008      | 0.029       | 0.114          | 0.114           | 0.736       |
| Chenango                          | 0.048      | 0.045       | 0.015          | 0.156           | 0.735       |
| Washington                        | 0.052      | 0.020       | 0.045          | 0.149           | 0.735       |
| Maricopa                          | 0.023      | 0.025       | 0.059          | 0.158           | 0.734       |
| Broomfield                        | 0.018      | 0.005       | 0.042          | 0.201           | 0.734       |
| Douglas                           | 0.006      | 0.009       | 0.024          | 0.227           | 0.734       |
| Atlantic                          | 0.019      | 0.041       | 0.030          | 0.176           | 0.734       |
| Baltimore city                    | 0.024      | 0.032       | 0.063          | 0.148           | 0.733       |
| Washtenaw                         | 0.019      | 0.022       | 0.046          | 0.180           | 0.733       |
| Franklin                          | 0.026      | 0.027       | 0.117          | 0.097           | 0.733       |
| Beaufort                          | 0.038      | 0.027       | 0.055          | 0.147           | 0.733       |
| Kinney                            | 0.004      | 0.059       | 0.121          | 0.084           | 0.733       |
| San Jacinto                       | 0.009      | 0.064       | 0.082          | 0.112           | 0.733       |
| Lee                               | 0.035      | 0.033       | 0.039          | 0.162           | 0.732       |
| Cayuga                            | 0.000      | 0.033       | 0.072          | 0.162           | 0.732       |
| Lincoln                           | 0.040      | 0.012       | 0.055          | 0.162           | 0.731       |
| Niagara                           | 0.001      | 0.028       | 0.037          | 0.204           | 0.730       |
| San Juan                          | 0.015      | 0.004       | 0.021          | 0.229           | 0.730       |
| Neshoba                           | 0.017      | 0.018       | 0.066          | 0.171           | 0.729       |
| Fulton                            | 0.078      | 0.015       | 0.060          | 0.118           | 0.729       |
| Yamhill                           | 0.021      | 0.035       | 0.072          | 0.143           | 0.729       |
| Bastrop                           | 0.007      | 0.020       | 0.084          | 0.161           | 0.729       |
| Grand Isle                        | 0.031      | 0.039       | 0.088          | 0.113           | 0.729       |
| Solano                            | 0.043      | 0.046       | 0.035          | 0.148           | 0.728       |
| Brewster                          | 0.011      | 0.012       | 0.077          | 0.172           | 0.728       |
| Stafford                          | 0.045      | 0.035       | 0.097          | 0.095           | 0.728       |
| Oakland                           | 0.028      | 0.027       | 0.049          | 0.169           | 0.727       |
| Wake                              | 0.015      | 0.020       | 0.070          | 0.168           | 0.727       |
| Dougherty                         | 0.033      | 0.037       | 0.045          | 0.159           | 0.726       |
| St. Louis city                    | 0.039      | 0.017       | 0.080          | 0.137           | 0.726       |
| Salem                             | 0.041      | 0.043       | 0.036          | 0.154           | 0.726       |
| Kleberg                           | 0.063      | 0.015       | 0.075          | 0.121           | 0.726       |
| Humboldt                          | 0.008      | 0.042       | 0.156          | 0.069           | 0.725       |
| Beaver                            | 0.015      | 0.023       | 0.100          | 0.137           | 0.725       |
| Lebanon                           | 0.026      | 0.008       | 0.062          | 0.178           | 0.725       |
| Orange                            | 0.020      | 0.020       | 0.072          | 0.164           | 0.724       |
| Bladen                            | 0.073      | 0.023       | 0.076          | 0.104           | 0.724       |
| Lancaster                         | 0.037      | 0.013       | 0.054          | 0.172           | 0.724       |
| Gloucester                        | 0.003      | 0.004       | 0.035          | 0.234           | 0.724       |
| Adams                             | 0.077      | 0.051       | 0.072          | 0.076           | 0.724       |
| King                              | 0.016      | 0.020       | 0.050          | 0.191           | 0.724       |
| Clear Creek                       | 0.002      | 0.015       | 0.138          | 0.123           | 0.723       |
| Howard                            | 0.024      | 0.015       | 0.067          | 0.170           | 0.723       |
| Warren                            | 0.026      | 0.018       | 0.104          | 0.130           | 0.723       |
| Sacramento                        | 0.025      | 0.028       | 0.062          | 0.164           | 0.722       |
| Park                              | 0.021      | 0.018       | 0.103          | 0.137           | 0.722       |
| Hillsborough                      | 0.023      | 0.031       | 0.069          | 0.155           | 0.722       |
