mysql root@(none):covid_data> select c.`County_ID`, c.`Name`, c.`Never_Mask`, c.`Rarely_Mask` from `County` as c having (c.`Never_Mask` + c.`Rarely_Mask`) < 0.1;
+-----------+----------------------------+------------+-------------+
| County_ID | Name                       | Never_Mask | Rarely_Mask |
| 26033     | Chippewa                   | 0.030      | 0.022       |
| 26035     | Clare                      | 0.050      | 0.026       |
| 26037     | Clinton                    | 0.033      | 0.056       |
| 26039     | Crawford                   | 0.043      | 0.050       |
| 26041     | Delta                      | 0.058      | 0.023       |
| 26045     | Eaton                      | 0.047      | 0.039       |
| 26047     | Emmet                      | 0.025      | 0.062       |
| 26049     | Genesee                    | 0.032      | 0.043       |
| 26051     | Gladwin                    | 0.025      | 0.024       |
| 26055     | Grand Traverse             | 0.004      | 0.041       |
| 26061     | Houghton                   | 0.008      | 0.078       |
| 26065     | Ingham                     | 0.062      | 0.030       |
| 26077     | Kalamazoo                  | 0.020      | 0.059       |
| 26079     | Kalkaska                   | 0.018      | 0.037       |
| 26081     | Kent                       | 0.019      | 0.061       |
| 26083     | Keweenaw                   | 0.006      | 0.071       |
| 26089     | Leelanau                   | 0.003      | 0.038       |
| 26091     | Lenawee                    | 0.018      | 0.027       |
| 26093     | Livingston                 | 0.042      | 0.021       |
| 26095     | Luce                       | 0.028      | 0.030       |
| 26097     | Mackinac                   | 0.032      | 0.040       |
| 26099     | Macomb                     | 0.034      | 0.043       |
| 26101     | Manistee                   | 0.035      | 0.050       |
| 26103     | Marquette                  | 0.016      | 0.045       |
| 26111     | Midland                    | 0.031      | 0.030       |
| 26113     | Missaukee                  | 0.025      | 0.036       |
| 26125     | Oakland                    | 0.028      | 0.027       |
| 26139     | Ottawa                     | 0.042      | 0.057       |
| 26141     | Presque Isle               | 0.020      | 0.040       |
| 26143     | Roscommon                  | 0.012      | 0.037       |
| 26153     | Schoolcraft                | 0.041      | 0.021       |
| 26159     | Van Buren                  | 0.025      | 0.068       |
| 26161     | Washtenaw                  | 0.019      | 0.022       |
| 26163     | Wayne                      | 0.046      | 0.032       |
| 26165     | Wexford                    | 0.036      | 0.056       |
| 27049     | Goodhue                    | 0.030      | 0.039       |
| 27053     | Hennepin                   | 0.021      | 0.044       |
| 27123     | Ramsey                     | 0.044      | 0.046       |
